E	sigma_t	sigma_s
6.99571900E+00	5.32170100E+01	2.01412200E+01
7.01672300E+00	4.82626200E+01	1.93064200E+01
7.03772700E+00	4.41563800E+01	1.85871300E+01
7.05586800E+00	4.11479200E+01	1.80416500E+01
7.07400800E+00	3.85420900E+01	1.75546000E+01
7.09214800E+00	3.62673700E+01	1.71169100E+01
7.11028800E+00	3.42669300E+01	1.67212000E+01
7.12842900E+00	3.24957500E+01	1.63614600E+01
7.14656900E+00	3.09188200E+01	1.60329600E+01
7.18284900E+00	2.82411000E+01	1.54548600E+01
7.21913000E+00	2.60647400E+01	1.49628500E+01
7.25541000E+00	2.42701100E+01	1.45391800E+01
7.29169000E+00	2.27706600E+01	1.41704900E+01
7.32797000E+00	2.15032800E+01	1.38466600E+01
7.36616000E+00	2.03685000E+01	1.35457400E+01
7.40435000E+00	1.93981000E+01	1.32789200E+01
7.44254000E+00	1.85620600E+01	1.30409500E+01
7.48073000E+00	1.78375100E+01	1.28276700E+01
7.51892000E+00	1.72030500E+01	1.26348300E+01
7.55711000E+00	1.66424800E+01	1.24587800E+01
7.59530000E+00	1.61526600E+01	1.22972900E+01
7.63348900E+00	1.57359700E+01	1.21490000E+01
7.65640300E+00	1.55096900E+01	1.20659900E+01
7.67529000E+00	1.53249300E+01	1.20007000E+01
7.70461400E+00	1.50329200E+01	1.19045400E+01
7.73963300E+00	1.46961300E+01	1.17972400E+01
7.77465100E+00	1.43990500E+01	1.16971000E+01
7.84468700E+00	1.38999700E+01	1.15142300E+01
7.91472400E+00	1.34790300E+01	1.13516400E+01
7.98476000E+00	1.31171800E+01	1.12064200E+01
8.05479700E+00	1.28028900E+01	1.10757900E+01
8.12483300E+00	1.25275800E+01	1.09575300E+01
8.19486900E+00	1.22845600E+01	1.08498300E+01
8.26490500E+00	1.20685800E+01	1.07512200E+01
8.35527500E+00	1.18233100E+01	1.06355700E+01
8.44564500E+00	1.16118500E+01	1.05320200E+01
8.53601500E+00	1.14226100E+01	1.04366200E+01
8.62638400E+00	1.12547300E+01	1.03493200E+01
8.71675400E+00	1.11033800E+01	1.02684100E+01
8.80712300E+00	1.09681100E+01	1.01938600E+01
8.98786200E+00	1.07333500E+01	1.00593500E+01
9.16860100E+00	1.05373700E+01	9.94113100E+00
9.34934000E+00	1.03706100E+01	9.83553200E+00
9.53007900E+00	1.02267700E+01	9.73988600E+00
9.71081800E+00	1.01028300E+01	9.65234300E+00
9.81926200E+00	1.00384900E+01	9.60308300E+00
9.92770500E+00	9.98520700E+00	9.55574200E+00
9.96385300E+00	9.97264500E+00	9.54043900E+00
1.00000000E+01	9.96526600E+00	9.52533200E+00
1.00214100E+01	9.96541400E+00	9.51647500E+00
1.00428100E+01	9.97215100E+00	9.50769000E+00
1.00535200E+01	9.97989400E+00	9.50331800E+00
1.00642200E+01	9.99253100E+00	9.49896700E+00
1.00749200E+01	1.00127100E+01	9.49463300E+00
1.00856200E+01	1.00445800E+01	9.49031500E+00
1.00914200E+01	1.00688400E+01	9.48798200E+00
1.00972200E+01	1.00996200E+01	9.48565300E+00
1.01030200E+01	1.01384800E+01	9.48332900E+00
1.01088100E+01	1.01871200E+01	9.48101300E+00
1.01146100E+01	1.02477600E+01	9.47869900E+00
1.01204100E+01	1.03226000E+01	9.47638900E+00
1.01262100E+01	1.04140500E+01	9.47408500E+00
1.01320000E+01	1.05243800E+01	9.47179000E+00
1.01378000E+01	1.06563300E+01	9.46949500E+00
1.01436000E+01	1.08118500E+01	9.46720600E+00
1.01494000E+01	1.09926100E+01	9.46492200E+00
1.01551900E+01	1.11992000E+01	9.46264800E+00
1.01609900E+01	1.14323700E+01	9.46037400E+00
1.01667800E+01	1.16902300E+01	9.45811000E+00
1.01783700E+01	1.22705700E+01	9.45359200E+00
1.01944300E+01	1.31492100E+01	9.44736100E+00
1.02024600E+01	1.35757900E+01	9.44425700E+00
1.02104800E+01	1.39604000E+01	9.44116200E+00
1.02200900E+01	1.43314600E+01	9.43746100E+00
1.02297000E+01	1.45693700E+01	9.43376600E+00
1.02395000E+01	1.46484700E+01	9.43000200E+00
1.02492600E+01	1.45541000E+01	9.42625800E+00
1.02590200E+01	1.42971700E+01	9.42251800E+00
1.02713500E+01	1.37845200E+01	9.41780200E+00
1.02836700E+01	1.31397600E+01	9.41310100E+00
1.02980600E+01	1.23392700E+01	9.40762900E+00
1.03052500E+01	1.19571900E+01	9.40490400E+00
1.03124400E+01	1.16025600E+01	9.40218600E+00
1.03196300E+01	1.12827500E+01	9.39947400E+00
1.03268200E+01	1.10018000E+01	9.39677000E+00
1.03340100E+01	1.07607700E+01	9.39407200E+00
1.03412000E+01	1.05584000E+01	9.39138100E+00
1.03458300E+01	1.04472100E+01	9.38965100E+00
1.03504500E+01	1.03499800E+01	9.38792800E+00
1.03550700E+01	1.02653100E+01	9.38620800E+00
1.03596900E+01	1.01919900E+01	9.38449000E+00
1.03643100E+01	1.01287900E+01	9.38277500E+00
1.03689300E+01	1.00745200E+01	9.38106200E+00
1.03735500E+01	1.00280600E+01	9.37935200E+00
1.03781700E+01	9.98833700E+00	9.37764400E+00
1.03874200E+01	9.92532700E+00	9.37423100E+00
1.03966600E+01	9.87911800E+00	9.37083100E+00
1.04059000E+01	9.84466700E+00	9.36744000E+00
1.04151400E+01	9.81835400E+00	9.36405700E+00
1.04346600E+01	9.77907400E+00	9.35693800E+00
1.04541700E+01	9.75188300E+00	9.34985900E+00
1.04932000E+01	9.71323400E+00	9.33580200E+00
1.05322300E+01	9.68414400E+00	9.32187900E+00
1.05712500E+01	9.65965400E+00	9.30808700E+00
1.06493100E+01	9.61780300E+00	9.28087900E+00
1.07273600E+01	9.58102800E+00	9.25412200E+00
1.08834700E+01	9.51487200E+00	9.20172500E+00
1.10395800E+01	9.45779500E+00	9.15070100E+00
1.11053100E+01	9.44012400E+00	9.12956500E+00
1.11381800E+01	9.43839600E+00	9.11907700E+00
1.11546100E+01	9.44348600E+00	9.11385300E+00
1.11710400E+01	9.45737300E+00	9.10864100E+00
1.11833700E+01	9.47747600E+00	9.10473700E+00
1.11956900E+01	9.50997500E+00	9.10084300E+00
1.12018600E+01	9.53223700E+00	9.09889500E+00
1.12080200E+01	9.55914400E+00	9.09695200E+00
1.12141800E+01	9.59117900E+00	9.09501000E+00
1.12203400E+01	9.62868500E+00	9.09307000E+00
1.12326700E+01	9.72071000E+00	9.08919200E+00
1.12449900E+01	9.83368400E+00	9.08532300E+00
1.12696400E+01	1.00933400E+01	9.07760000E+00
1.12830000E+01	1.02226000E+01	9.07342300E+00
1.12963500E+01	1.03172900E+01	9.06925400E+00
1.13050300E+01	1.03518000E+01	9.06654700E+00
1.13137000E+01	1.03612300E+01	9.06384500E+00
1.13233500E+01	1.03411700E+01	9.06084000E+00
1.13330000E+01	1.02906400E+01	9.05783800E+00
1.13470000E+01	1.01731400E+01	9.05348600E+00
1.13609900E+01	1.00230900E+01	9.04914400E+00
1.13839800E+01	9.76725400E+00	9.04202100E+00
1.13954800E+01	9.65615100E+00	9.03846500E+00
1.14069700E+01	9.56350000E+00	9.03491600E+00
1.14184700E+01	9.49007700E+00	9.03136800E+00
1.14299600E+01	9.43444900E+00	9.02782700E+00
1.14414600E+01	9.39357800E+00	9.02428800E+00
1.14529500E+01	9.36417000E+00	9.02075500E+00
1.14669500E+01	9.33927000E+00	9.01645700E+00
1.14809400E+01	9.32219800E+00	9.01216600E+00
1.15089300E+01	9.30015600E+00	9.00359900E+00
1.15649100E+01	9.27240300E+00	8.98652800E+00
1.16768600E+01	9.22991200E+00	8.95259300E+00
1.19007700E+01	9.15545000E+00	8.88542100E+00
1.23485800E+01	9.01588900E+00	8.75213200E+00
1.28923600E+01	8.85411200E+00	8.58931700E+00
1.34361300E+01	8.69456200E+00	8.42133600E+00
1.39799100E+01	8.53279600E+00	8.24390500E+00
1.45236800E+01	8.36508200E+00	8.05242400E+00
1.47955700E+01	8.27812300E+00	7.95022400E+00
1.50674600E+01	8.18785200E+00	7.84140900E+00
1.53393500E+01	8.09520700E+00	7.72785700E+00
1.56112300E+01	7.99884800E+00	7.60677700E+00
1.58831200E+01	7.89775000E+00	7.47584800E+00
1.61550100E+01	7.79189400E+00	7.33452500E+00
1.64269000E+01	7.68078100E+00	7.18095900E+00
1.66987800E+01	7.56396100E+00	7.01289200E+00
1.69546800E+01	7.44848900E+00	6.83897600E+00
1.72105700E+01	7.32757400E+00	6.64686300E+00
1.74664700E+01	7.20145500E+00	6.43287000E+00
1.77223600E+01	7.07104100E+00	6.19233400E+00
1.79782600E+01	6.93831000E+00	5.92022100E+00
1.81062100E+01	6.87225900E+00	5.77005300E+00
1.82341500E+01	6.80748100E+00	5.60778900E+00
1.83621000E+01	6.74519600E+00	5.43276900E+00
1.84900400E+01	6.68712300E+00	5.24337800E+00
1.86179900E+01	6.63567800E+00	5.03764600E+00
1.87459300E+01	6.59434500E+00	4.81332900E+00
1.89058700E+01	6.56482700E+00	4.50261000E+00
1.89858400E+01	6.56357200E+00	4.33287200E+00
1.90658000E+01	6.57504200E+00	4.15234900E+00
1.91457700E+01	6.60316400E+00	3.96013600E+00
1.92257300E+01	6.65333700E+00	3.75564600E+00
1.93057000E+01	6.74728600E+00	3.53781300E+00
1.93456800E+01	6.85139700E+00	3.42310300E+00
1.93656700E+01	6.94288600E+00	3.36422300E+00
1.93856600E+01	7.07897200E+00	3.30431300E+00
1.94161500E+01	7.40273000E+00	3.21091700E+00
